[computeDictionary] Generating visual words...
pixel 244: 25 25 25
pixel 245: 25 25 25
pixel 246: 25 25 25
pixel 247: 25 25 25
pixel 248: 25 25 25
pixel 249: 25 25 25
pixel 250: 25 25 25
pixel 251: 25 25 25
pixel 252: 25 25 25
pixel 253: 25 25 25
pixel 254: 25 25 25
pixel 255: 25 25 25
pixel 256: 25 25 25
pixel 257: 25 25 25
pixel 258: 25 25 25
pixel 259: 25 25 25
pixel 260: 25 25 25
pixel 261: 25 25 25
pixel 262: 25 25 25
pixel 263: 25 25 25
pixel 264: 25 25 25
pixel 265: 25 25 25
pixel 266: 25 25 25
pixel 267: 25 25 25
pixel 268: 25 25 25
pixel 269: 25 25 25
pixel 270: 25 25 25
pixel 271: 25 25 25
pixel 272: 25 25 25
pixel 273: 25 25 25
pixel 274: 25 25 25
pixel 275: 25 25 25
pixel 276: 25 25 25
pixel 277: 25 25 25
pixel 278: 25 25 25
pixel 279: 25 25 25
pixel 280: 25 25 25
pixel 281: 25 25 25
pixel 282: 25 25 25
pixel 283: 25 25 25
pixel 284: 25 25 25
pixel 285: 25 25 25
pixel 286: 25 25 25
pixel 287: 25 25 25
pixel 288: 25 25 25
pixel 289: 25 25 25
pixel 290: 25 25 25
pixel 291: 25 25 25
pixel 292: 25 25 25
pixel 293: 25 25 25
pixel 294: 25 25 25
pixel 295: 25 25 25
pixel 296: 25 25 25
pixel 297: 25 25 25
pixel 298: 25 25 25
pixel 299: 25 25 25
pixel 300: 25 25 25
pixel 301: 25 25 25
pixel 302: 25 25 25
pixel 303: 25 25 25
pixel 304: 25 25 25
pixel 305: 25 25 25
pixel 306: 25 25 25
pixel 307: 25 25 25
pixel 308: 25 25 25
pixel 309: 25 25 25
pixel 310: 25 25 25
pixel 311: 25 25 25
pixel 312: 25 25 25
pixel 313: 25 25 25
pixel 314: 25 25 25
pixel 315: 25 25 25
pixel 316: 25 25 25
pixel 317: 25 25 25
pixel 318: 25 25 25
pixel 319: 25 25 25
pixel 320: 25 25 25
pixel 321: 25 25 25
pixel 322: 25 25 25
pixel 323: 25 25 25
pixel 324: 25 25 25
pixel 325: 25 25 25
pixel 326: 25 25 25
pixel 327: 25 25 25
pixel 328: 25 25 25
pixel 329: 25 25 25
pixel 330: 25 25 25
pixel 331: 25 25 25
pixel 332: 25 25 25
pixel 333: 25 25 25
pixel 334: 25 25 25
pixel 335: 25 25 25
pixel 336: 25 25 25
pixel 337: 25 25 25
pixel 338: 25 25 25
pixel 339: 25 25 25
pixel 340: 25 25 25
pixel 341: 25 25 25
pixel 342: 25 25 25
pixel 343: 25 25 25
pixel 344: 25 25 25
pixel 345: 25 25 25
pixel 346: 25 25 25
pixel 347: 25 25 25
pixel 348: 25 25 25
pixel 349: 25 25 25
pixel 350: 25 25 25
pixel 351: 25 25 25
pixel 352: 25 25 25
pixel 353: 25 25 25
pixel 354: 25 25 25
pixel 355: 25 25 25
pixel 356: 25 25 25
pixel 357: 25 25 25
pixel 358: 25 25 25
pixel 359: 25 25 25
pixel 360: 25 25 25
pixel 361: 25 25 25
pixel 362: 25 25 25
pixel 363: 25 25 25
pixel 364: 25 25 25
pixel 365: 25 25 25
pixel 366: 25 25 25
pixel 367: 25 25 25
pixel 368: 25 25 25
pixel 369: 25 25 25
pixel 370: 25 25 25
pixel 371: 25 25 25
pixel 372: 25 25 25
pixel 373: 25 25 25
pixel 374: 25 25 25
pixel 375: 25 25 25
pixel 376: 25 25 25
pixel 377: 25 25 25
pixel 378: 25 25 25
pixel 379: 25 25 25
pixel 380: 25 25 25
pixel 381: 25 25 25
pixel 382: 25 25 25
pixel 383: 25 25 25
pixel 384: 25 25 25
pixel 385: 25 25 25
pixel 386: 25 25 25
pixel 387: 25 25 25
pixel 388: 25 25 25
pixel 389: 25 25 25
pixel 390: 25 25 25
pixel 391: 25 25 25
pixel 392: 25 25 25
pixel 393: 25 25 25
pixel 394: 25 25 25
pixel 395: 25 25 25
pixel 396: 25 25 25
pixel 397: 25 25 25
pixel 398: 25 25 25
pixel 399: 25 25 25
pixel 400: 25 25 25
pixel 401: 25 25 25
pixel 402: 25 25 25
pixel 403: 25 25 25
pixel 404: 25 25 25
pixel 405: 25 25 25
pixel 406: 25 25 25
pixel 407: 25 25 25
pixel 408: 25 25 25
pixel 409: 25 25 25
pixel 410: 25 25 25
pixel 411: 25 25 25
pixel 412: 25 25 25
pixel 413: 25 25 25
pixel 414: 25 25 25
pixel 415: 25 25 25
pixel 416: 25 25 25
pixel 417: 25 25 25
pixel 418: 25 25 25
pixel 419: 25 25 25
pixel 420: 25 25 25
pixel 421: 25 25 25
pixel 422: 25 25 25
pixel 423: 25 25 25
pixel 424: 25 25 25
pixel 425: 25 25 25
pixel 426: 25 25 25
pixel 427: 25 25 25
pixel 428: 25 25 25
pixel 429: 25 25 25
pixel 430: 25 25 25
pixel 431: 25 25 25
pixel 432: 25 25 25
pixel 433: 25 25 25
pixel 434: 25 25 25
pixel 435: 25 25 25
pixel 436: 25 25 25
pixel 437: 25 25 25
pixel 438: 25 25 25
pixel 439: 25 25 25
pixel 440: 25 25 25
pixel 441: 25 25 25
pixel 442: 25 25 25
pixel 443: 25 25 25
pixel 444: 25 25 25
pixel 445: 25 25 25
pixel 446: 25 25 25
pixel 447: 25 25 25
pixel 448: 25 25 25
pixel 449: 25 25 25
pixel 450: 25 25 25
pixel 451: 25 25 25
pixel 452: 25 25 25
pixel 453: 25 25 25
pixel 454: 25 25 25
pixel 455: 25 25 25
pixel 456: 25 25 25
pixel 457: 25 25 25
pixel 458: 25 25 25
pixel 459: 25 25 25
pixel 460: 25 25 25
pixel 461: 25 25 25
pixel 462: 25 25 25
pixel 463: 25 25 25
pixel 464: 25 25 25
pixel 465: 25 25 25
pixel 466: 25 25 25
pixel 467: 25 25 25
pixel 468: 25 25 25
pixel 469: 25 25 25
pixel 470: 25 25 25
pixel 471: 25 25 25
pixel 472: 25 25 25
pixel 473: 25 25 25
pixel 474: 25 25 25
pixel 475: 25 25 25
pixel 476: 25 25 25
pixel 477: 25 25 25
pixel 478: 25 25 25
pixel 479: 25 25 25
pixel 480: 25 25 25
pixel 481: 25 25 25
pixel 482: 25 25 25
pixel 483: 25 25 25
pixel 484: 25 25 25
pixel 485: 25 25 25
pixel 486: 25 25 25
pixel 487: 25 25 25
pixel 488: 25 25 25
pixel 489: 25 25 25
pixel 490: 25 25 25
pixel 491: 25 25 25
pixel 492: 25 25 25
pixel 493: 25 25 25
pixel 494: 25 25 25
pixel 495: 25 25 25
pixel 496: 25 25 25
pixel 497: 25 25 25
pixel 498: 25 25 25
pixel 499: 25 25 25
pixel 500: 25 25 25
pixel 501: 25 25 25
pixel 502: 25 25 25
pixel 503: 25 25 25
pixel 504: 25 25 25
pixel 505: 25 25 25
pixel 506: 25 25 25
pixel 507: 25 25 25
pixel 508: 25 25 25
pixel 509: 25 25 25
pixel 510: 25 25 25
pixel 511: 25 25 25
pixel 512: 25 25 25
pixel 513: 25 25 25
pixel 514: 25 25 25
pixel 515: 25 25 25
pixel 516: 25 25 25
pixel 517: 25 25 25
pixel 518: 25 25 25
pixel 519: 25 25 25
pixel 520: 25 25 25
pixel 521: 25 25 25
pixel 522: 25 25 25
pixel 523: 25 25 25
pixel 524: 25 25 25
pixel 525: 25 25 25
pixel 526: 25 25 25
pixel 527: 25 25 25
pixel 528: 25 25 25
pixel 529: 25 25 25
pixel 530: 25 25 25
pixel 531: 25 25 25
pixel 532: 25 25 25
pixel 533: 25 25 25
pixel 534: 25 25 25
pixel 535: 25 25 25
pixel 536: 25 25 25
pixel 537: 25 25 25
pixel 538: 25 25 25
pixel 539: 25 25 25
pixel 540: 25 25 25
pixel 541: 25 25 25
pixel 542: 25 25 25
pixel 543: 25 25 25
pixel 544: 25 25 25
pixel 545: 25 25 25
pixel 546: 25 25 25
pixel 547: 25 25 25
pixel 548: 25 25 25
pixel 549: 25 25 25
pixel 550: 25 25 25
pixel 551: 25 25 25
pixel 552: 25 25 25
pixel 553: 25 25 25
pixel 554: 25 25 25
pixel 555: 25 25 25
pixel 556: 25 25 25
pixel 557: 25 25 25
pixel 558: 25 25 25
pixel 559: 25 25 25
pixel 560: 25 25 25
pixel 561: 25 25 25
pixel 562: 25 25 25
pixel 563: 25 25 25
pixel 564: 25 25 25
pixel 565: 25 25 25
pixel 566: 25 25 25
pixel 567: 25 25 25
pixel 568: 25 25 25
pixel 569: 25 25 25
pixel 570: 25 25 25
pixel 571: 25 25 25
pixel 572: 25 25 25
pixel 573: 25 25 25
pixel 574: 25 25 25
pixel 575: 25 25 25
pixel 576: 25 25 25
pixel 577: 25 25 25
pixel 578: 25 25 25
pixel 579: 25 25 25
pixel 580: 25 25 25
pixel 581: 25 25 25
pixel 582: 25 25 25
pixel 583: 25 25 25
pixel 584: 25 25 25
pixel 585: 25 25 25
pixel 586: 25 25 25
pixel 587: 25 25 25
pixel 588: 25 25 25
pixel 589: 25 25 25
pixel 590: 25 25 25
pixel 591: 25 25 25
pixel 592: 25 25 25
pixel 593: 25 25 25
pixel 594: 25 25 25
pixel 595: 25 25 25
pixel 596: 25 25 25
pixel 597: 25 25 25
pixel 598: 25 25 25
pixel 599: 25 25 25
pixel 600: 25 25 25
pixel 601: 25 25 25
pixel 602: 25 25 25
pixel 603: 25 25 25
pixel 604: 25 25 25
pixel 605: 25 25 25
pixel 606: 25 25 25
pixel 607: 25 25 25
pixel 608: 25 25 25
pixel 609: 25 25 25
pixel 610: 25 25 25
pixel 611: 25 25 25
pixel 612: 25 25 25
pixel 613: 25 25 25
pixel 614: 25 25 25
pixel 615: 25 25 25
pixel 616: 25 25 25
pixel 617: 25 25 25
pixel 618: 25 25 25
pixel 619: 25 25 25
pixel 620: 25 25 25
pixel 621: 25 25 25
pixel 622: 25 25 25
pixel 623: 25 25 25
pixel 624: 25 25 25
pixel 625: 25 25 25
pixel 626: 25 25 25
pixel 627: 25 25 25
pixel 628: 25 25 25
pixel 629: 25 25 25
pixel 630: 25 25 25
pixel 631: 25 25 25
pixel 632: 25 25 25
pixel 633: 25 25 25
pixel 634: 25 25 25
pixel 635: 25 25 25
pixel 636: 25 25 25
pixel 637: 25 25 25
pixel 638: 25 25 25
pixel 639: 25 25 25
pixel 640: 25 25 25
pixel 641: 25 25 25
pixel 642: 25 25 25
pixel 643: 25 25 25
pixel 644: 25 25 25
pixel 645: 25 25 25
pixel 646: 25 25 25
pixel 647: 25 25 25
pixel 648: 25 25 25
pixel 649: 25 25 25
pixel 650: 25 25 25
pixel 651: 25 25 25
pixel 652: 25 25 25
pixel 653: 25 25 25
pixel 654: 25 25 25
pixel 655: 25 25 25
pixel 656: 25 25 25
pixel 657: 25 25 25
pixel 658: 25 25 25
pixel 659: 25 25 25
pixel 660: 25 25 25
pixel 661: 25 25 25
pixel 662: 25 25 25
pixel 663: 25 25 25
pixel 664: 25 25 25
pixel 665: 25 25 25
pixel 666: 25 25 25
pixel 667: 25 25 25
pixel 668: 25 25 25
pixel 669: 25 25 25
pixel 670: 25 25 25
pixel 671: 25 25 25
pixel 672: 25 25 25
pixel 673: 25 25 25
pixel 674: 25 25 25
pixel 675: 25 25 25
pixel 676: 25 25 25
pixel 677: 25 25 25
pixel 678: 25 25 25
pixel 679: 25 25 25
pixel 680: 25 25 25
pixel 681: 25 25 25
pixel 682: 25 25 25
pixel 683: 25 25 25
pixel 684: 25 25 25
pixel 685: 25 25 25
pixel 686: 25 25 25
pixel 687: 25 25 25
pixel 688: 25 25 25
pixel 689: 25 25 25
pixel 690: 25 25 25
pixel 691: 25 25 25
pixel 692: 25 25 25
pixel 693: 25 25 25
pixel 694: 25 25 25
pixel 695: 25 25 25
pixel 696: 25 25 25
pixel 697: 25 25 25
pixel 698: 25 25 25
pixel 699: 25 25 25
pixel 700: 25 25 25
pixel 701: 25 25 25
pixel 702: 25 25 25
pixel 703: 25 25 25
pixel 704: 25 25 25
pixel 705: 25 25 25
pixel 706: 25 25 25
pixel 707: 25 25 25
pixel 708: 25 25 25
pixel 709: 25 25 25
pixel 710: 25 25 25
pixel 711: 25 25 25
pixel 712: 25 25 25
